epoch,step,val_loss
0,137,1.8077797889709473
1,275,1.789812684059143
2,413,1.7727028131484985
3,551,1.7567540407180786
4,689,1.7417309284210205
5,827,1.7276569604873657
6,965,1.7142690420150757
7,1103,1.7022068500518799
8,1241,1.690648078918457
9,1379,1.6802343130111694
