epoch,step,val_loss
0,137,1.8561798334121704
1,275,1.8375227451324463
2,413,1.819723129272461
3,551,1.8028289079666138
4,689,1.7869477272033691
5,827,1.7722282409667969
6,965,1.7582688331604004
7,1103,1.7451344728469849
8,1241,1.7328382730484009
9,1379,1.7215917110443115
