epoch,step,val_loss
0,137,1.8367304801940918
1,275,1.818273901939392
2,413,1.8004037141799927
3,551,1.78375244140625
4,689,1.768104076385498
5,827,1.753487467765808
6,965,1.7397818565368652
7,1103,1.7270898818969727
8,1241,1.715044379234314
9,1379,1.7039817571640015
